coefficient,value,model_domain,model_version
INS_F60_64,0.727,CMS-HCC,C28
INS_HCC63,0.915,CMS-HCC,C28
INS_HCC108,0.414,CMS-HCC,C28
INS_HCC201,0.081,CMS-HCC,C28
INS_D10P,0.412,CMS-HCC,C28
SNPNE_MCAID_NORIGDIS_NEM75_79,1.888,CMS-HCC,C28
SNPNE_NMCAID_ORIGDIS_NEF67,1.743,CMS-HCC,C28
INS_HCC23,0.284,CMS-HCC,C28
CPD_F60_64,0.401,CMS-HCC,C28
CPD_HCC402,1.174,CMS-HCC,C28
INS_HF_CHR_LUNG_V28,0.147,CMS-HCC,C28
INS_HCC93,0.264,CMS-HCC,C28
INS_HCC397,0.006,CMS-HCC,C28
NE_NMCAID_ORIGDIS_NEF80_84,1.292,CMS-HCC,C28
NE_MCAID_ORIGDIS_NEF69,2.09,CMS-HCC,C28
CPD_HCC92,0.899,CMS-HCC,C28
CPD_HCC115,0.715,CMS-HCC,C28
CPD_HCC155,0.081,CMS-HCC,C28
INS_HCC267,0.34,CMS-HCC,C28
CPA_HCC253,0.528,CMS-HCC,C28
CPA_HCC326,1.438,CMS-HCC,C28
CPD_M55_59,0.286,CMS-HCC,C28
CPD_D7,0.195,CMS-HCC,C28
CPD_D8,0.454,CMS-HCC,C28
INS_HCC138,0.215,CMS-HCC,C28
NE_MCAID_NORIGDIS_NEF85_89,1.538,CMS-HCC,C28
CPD_F55_59,0.386,CMS-HCC,C28
CPD_HCC78,0.596,CMS-HCC,C28
INS_M90_94,0.961,CMS-HCC,C28
NE_MCAID_ORIGDIS_NEM85_89,2.134,CMS-HCC,C28
CPA_HCC126,0.399,CMS-HCC,C28
CPA_HCC127,0.399,CMS-HCC,C28
CPA_HCC221,1.038,CMS-HCC,C28
CPA_DIABETES_HF_V28,0.09,CMS-HCC,C28
NE_MCAID_ORIGDIS_NEF75_79,2.09,CMS-HCC,C28
CPA_HCC327,0.443,CMS-HCC,C28
CPD_HCC50,0.959,CMS-HCC,C28
CPD_HCC151,0.326,CMS-HCC,C28
INS_HCC276,0.731,CMS-HCC,C28
NE_NMCAID_ORIGDIS_NEM90_94,1.568,CMS-HCC,C28
SNPNE_NMCAID_ORIGDIS_NEF69,1.761,CMS-HCC,C28
SNPNE_NMCAID_ORIGDIS_NEM85_89,2.249,CMS-HCC,C28
SNPNE_MCAID_ORIGDIS_NEM69,2.207,CMS-HCC,C28
CPA_HCC93,0.371,CMS-HCC,C28
CPA_HCC279,0.651,CMS-HCC,C28
CPA_HCC409,0.76,CMS-HCC,C28
CPD_HCC463,1.164,CMS-HCC,C28
INS_HCC264,1.232,CMS-HCC,C28
NE_NMCAID_ORIGDIS_NEM67,1.311,CMS-HCC,C28
SNPNE_NMCAID_NORIGDIS_NEM55_59,1.719,CMS-HCC,C28
CPD_HCC1,0.143,CMS-HCC,C28
INS_F65_69,1.166,CMS-HCC,C28
INS_M80_84,1.178,CMS-HCC,C28
NE_NMCAID_ORIGDIS_NEM69,1.311,CMS-HCC,C28
SNPNE_NMCAID_NORIGDIS_NEM85_89,1.936,CMS-HCC,C28
SNPNE_MCAID_NORIGDIS_NEM80_84,2.14,CMS-HCC,C28
SNPNE_NMCAID_ORIGDIS_NEF70_74,1.852,CMS-HCC,C28
CPA_HCC180,1.634,CMS-HCC,C28
CPD_HCC94,0.182,CMS-HCC,C28
CPD_HCC112,0.464,CMS-HCC,C28
CPD_HCC212,0.587,CMS-HCC,C28
CPD_HCC397,0.206,CMS-HCC,C28
NE_MCAID_NORIGDIS_NEF69,1.074,CMS-HCC,C28
CPA_D9,0.468,CMS-HCC,C28
CPD_HCC38,0.172,CMS-HCC,C28
INS_M0_34,0.45,CMS-HCC,C28
INS_HCC48,0.402,CMS-HCC,C28
NE_MCAID_NORIGDIS_NEM95_GT,1.822,CMS-HCC,C28
SNPNE_NMCAID_NORIGDIS_NEF35_44,1.562,CMS-HCC,C28
SNPNE_NMCAID_ORIGDIS_NEF68,1.743,CMS-HCC,C28
CPA_HCC151,0.447,CMS-HCC,C28
INS_HCC224,0.195,CMS-HCC,C28
INS_HCC326,1.092,CMS-HCC,C28
INS_D4,0,CMS-HCC,C28
SNPNE_NMCAID_NORIGDIS_NEM65,1.018,CMS-HCC,C28
CPD_HCC222,4.032,CMS-HCC,C28
INS_HCC282,0.552,CMS-HCC,C28
INS_HCC383,0.46,CMS-HCC,C28
NE_NMCAID_NORIGDIS_NEM70_74,0.851,CMS-HCC,C28
NE_NMCAID_NORIGDIS_NEM85_89,1.568,CMS-HCC,C28
NE_MCAID_NORIGDIS_NEF75_79,1.162,CMS-HCC,C28
NE_MCAID_ORIGDIS_NEF70_74,2.09,CMS-HCC,C28
SNPNE_NMCAID_NORIGDIS_NEM80_84,1.742,CMS-HCC,C28
CPD_HCC138,0.251,CMS-HCC,C28
INS_HCC278,1.12,CMS-HCC,C28
NE_NMCAID_NORIGDIS_NEF55_59,1.233,CMS-HCC,C28
CPD_HCC181,0.811,CMS-HCC,C28
CPD_HCC224,0.551,CMS-HCC,C28
NE_NMCAID_NORIGDIS_NEF45_54,1.243,CMS-HCC,C28
NE_MCAID_ORIGDIS_NEF90_94,2.09,CMS-HCC,C28
SNPNE_NMCAID_ORIGDIS_NEM90_94,2.249,CMS-HCC,C28
CPA_HCC182,0.511,CMS-HCC,C28
CPD_HCC127,0.224,CMS-HCC,C28
INS_D2,0,CMS-HCC,C28
NE_NMCAID_NORIGDIS_NEF70_74,0.714,CMS-HCC,C28
CPD_HCC327,0.481,CMS-HCC,C28
NE_MCAID_ORIGDIS_NEM80_84,2.134,CMS-HCC,C28
SNPNE_MCAID_NORIGDIS_NEF85_89,2.199,CMS-HCC,C28
CPD_HCC280,0.169,CMS-HCC,C28
SNPNE_MCAID_NORIGDIS_NEF55_59,2.008,CMS-HCC,C28
SNPNE_NMCAID_ORIGDIS_NEM66,1.675,CMS-HCC,C28
CPD_HCC19,1.933,CMS-HCC,C28
CPD_HCC180,1.9,CMS-HCC,C28
NE_NMCAID_NORIGDIS_NEM66,0.599,CMS-HCC,C28
SNPNE_MCAID_NORIGDIS_NEF75_79,1.734,CMS-HCC,C28
CPA_HCC283,0,CMS-HCC,C28
CPD_HCC111,47.62,CMS-HCC,C28
CPD_HCC182,0.168,CMS-HCC,C28
CPD_CHR_LUNG_CARD_RESP_FAIL_V28,0.2,CMS-HCC,C28
INS_HCC181,1.074,CMS-HCC,C28
INS_HCC398,0.006,CMS-HCC,C28
NE_NMCAID_ORIGDIS_NEM65,1.064,CMS-HCC,C28
NE_MCAID_ORIGDIS_NEM68,1.905,CMS-HCC,C28
INS_HCC137,0.215,CMS-HCC,C28
NE_NMCAID_NORIGDIS_NEM35_44,0.751,CMS-HCC,C28
NE_MCAID_NORIGDIS_NEM70_74,1.462,CMS-HCC,C28
NE_NMCAID_ORIGDIS_NEM68,1.311,CMS-HCC,C28
SNPNE_NMCAID_ORIGDIS_NEF90_94,2.303,CMS-HCC,C28
CPD_HCC201,0.229,CMS-HCC,C28
CPD_HCC381,1.973,CMS-HCC,C28
INS_D3,0,CMS-HCC,C28
CPD_HCC81,0.056,CMS-HCC,C28
CPD_HCC380,1.973,CMS-HCC,C28
CPD_D5,0.139,CMS-HCC,C28
INS_HCC402,0.066,CMS-HCC,C28
NE_MCAID_NORIGDIS_NEF67,0.96,CMS-HCC,C28
SNPNE_NMCAID_NORIGDIS_NEM90_94,2.148,CMS-HCC,C28
INS_LTIMCAID,0.3,CMS-HCC,C28
SNPNE_MCAID_NORIGDIS_NEF60_64,2.021,CMS-HCC,C28
SNPNE_MCAID_ORIGDIS_NEF70_74,2.24,CMS-HCC,C28
SNPNE_MCAID_ORIGDIS_NEM80_84,2.639,CMS-HCC,C28
INS_HCC155,0.09,CMS-HCC,C28
INS_HCC229,0.372,CMS-HCC,C28
CPD_HCC199,0.394,CMS-HCC,C28
INS_M65_69,1.223,CMS-HCC,C28
SNPNE_NMCAID_ORIGDIS_NEF66,1.74,CMS-HCC,C28
CPA_HCC212,0.467,CMS-HCC,C28
CPA_HCC397,0.077,CMS-HCC,C28
INS_M95_GT,0.742,CMS-HCC,C28
NE_NMCAID_NORIGDIS_NEM45_54,1.102,CMS-HCC,C28
SNPNE_NMCAID_NORIGDIS_NEM95_GT,2.148,CMS-HCC,C28
SNPNE_NMCAID_ORIGDIS_NEM70_74,1.793,CMS-HCC,C28
Rx_CE_NoLowNoAged_RXHCC155,0,RxHCC,R08_PDP_AND_MAPD
Rx_CE_LowAged_RXHCC30,0.944,RxHCC,R08_PDP_AND_MAPD
Rx_CE_LowAged_RXHCC99,1.451,RxHCC,R08_PDP_AND_MAPD
Rx_CE_LowNoAged_RXHCC54,0.825,RxHCC,R08_PDP_AND_MAPD
Rx_NE_NoLo_ESRD_OD_x_F95_GT,1.303,RxHCC,R08_PDP_AND_MAPD
Rx_NE_LTI_NESRD_NOD_X_M0_34,3.3,RxHCC,R08_PDP_AND_MAPD
Rx_CE_NoLowNoAged_RXHCC81,0.602,RxHCC,R08_PDP_AND_MAPD
Rx_CE_NoLowNoAged_RXHCC158,0.148,RxHCC,R08_PDP_AND_MAPD
Rx_CE_NoLowNoAged_RXHCC317,0.236,RxHCC,R08_PDP_AND_MAPD
Rx_CE_LowAged_RXHCC133,0.078,RxHCC,R08_PDP_AND_MAPD
Rx_NE_NoLo_NESRD_NOD_X_M0_34,1.142,RxHCC,R08_PDP_AND_MAPD
Rx_NE_NoLo_NESRD_NOD_X_M55_59,1.181,RxHCC,R08_PDP_AND_MAPD
Rx_NE_NoLo_ESRD_NOD_X_M85_89,1.547,RxHCC,R08_PDP_AND_MAPD
Rx_NE_NoLo_ESRD_NOD_x_F60_64,1.26,RxHCC,R08_PDP_AND_MAPD
Rx_CE_LowAged_RXHCC183,1.666,RxHCC,R08_PDP_AND_MAPD
Rx_NE_LTI_ESRD_NOD_X_M55_59,2.349,RxHCC,R08_PDP_AND_MAPD
Rx_NE_LTI_ESRD_OD_x_F90_94,2.538,RxHCC,R08_PDP_AND_MAPD
Rx_CE_NoLowAged_RXHCC227,0.4,RxHCC,R08_PDP_AND_MAPD
Rx_CE_NoLowNoAged_F45_54,0.36,RxHCC,R08_PDP_AND_MAPD
Rx_CE_NoLowNoAged_RXHCC186,0.019,RxHCC,R08_PDP_AND_MAPD
Rx_CE_LowAged_M90_94,0.029,RxHCC,R08_PDP_AND_MAPD
Rx_NE_NoLo_NESRD_OD_X_M75_79,0.619,RxHCC,R08_PDP_AND_MAPD
Rx_NE_LTI_NESRD_OD_X_M95_GT,0.605,RxHCC,R08_PDP_AND_MAPD
Rx_CE_NoLowAged_RXHCC261,0.017,RxHCC,R08_PDP_AND_MAPD
Rx_CE_NoLowNoAged_RXHCC146,0.125,RxHCC,R08_PDP_AND_MAPD
Rx_CE_LTI_M75_79,0.64,RxHCC,R08_PDP_AND_MAPD
Rx_NE_Lo_NESRD_NOD_X_M35_44,1.839,RxHCC,R08_PDP_AND_MAPD
Rx_CE_NoLowAged_F65_69,0.123,RxHCC,R08_PDP_AND_MAPD
Rx_CE_LowNoAged_RXHCC186,0.103,RxHCC,R08_PDP_AND_MAPD
Rx_CE_LTI_F95_GT,0.039,RxHCC,R08_PDP_AND_MAPD
Rx_CE_LTI_RXHCC146,0,RxHCC,R08_PDP_AND_MAPD
Rx_NE_NoLo_NESRD_NOD_x_F66,0.411,RxHCC,R08_PDP_AND_MAPD
Rx_NE_Lo_ESRD_NOD_X_M65,2.215,RxHCC,R08_PDP_AND_MAPD
Rx_NE_Lo_ESRD_NOD_x_F55_59,2.014,RxHCC,R08_PDP_AND_MAPD
Rx_CE_NoLowNoAged_M35_44,0.225,RxHCC,R08_PDP_AND_MAPD
Rx_CE_LowNoAged_RXHCC30,1.432,RxHCC,R08_PDP_AND_MAPD
Rx_CE_LowNoAged_RXHCC65,0.923,RxHCC,R08_PDP_AND_MAPD
Rx_CE_LTI_RXHCC355,0.807,RxHCC,R08_PDP_AND_MAPD
Rx_NE_Lo_NESRD_NOD_x_F65,1.119,RxHCC,R08_PDP_AND_MAPD
Rx_NE_Lo_ESRD_NOD_X_M60_64,2.068,RxHCC,R08_PDP_AND_MAPD
Rx_NE_Lo_ESRD_NOD_X_M67,2.215,RxHCC,R08_PDP_AND_MAPD
Rx_NE_LTI_NESRD_OD_X_M66,2.365,RxHCC,R08_PDP_AND_MAPD
Rx_CE_NoLowAged_F95_GT,0.04,RxHCC,R08_PDP_AND_MAPD
Rx_CE_NoLowNoAged_RXHCC44,0.16,RxHCC,R08_PDP_AND_MAPD
Rx_CE_NoLowNoAged_RXHCC67,0.51,RxHCC,R08_PDP_AND_MAPD
Rx_CE_LowAged_RXHCC21,0.362,RxHCC,R08_PDP_AND_MAPD
Rx_CE_LowNoAged_RXHCC161,0.846,RxHCC,R08_PDP_AND_MAPD
Rx_CE_LTI_F55_59,1.667,RxHCC,R08_PDP_AND_MAPD
Rx_CE_LTI_RXHCC54,1.12,RxHCC,R08_PDP_AND_MAPD
Rx_NE_NoLo_ESRD_OD_x_F68,1.303,RxHCC,R08_PDP_AND_MAPD
Rx_NE_LTI_NESRD_NOD_x_F35_44,3.655,RxHCC,R08_PDP_AND_MAPD
Rx_CE_NoLowAged_RXHCC317,0.114,RxHCC,R08_PDP_AND_MAPD
Rx_CE_NoLowNoAged_RXHCC80,0.213,RxHCC,R08_PDP_AND_MAPD
Rx_CE_LowNoAged_RXHCC229,0.399,RxHCC,R08_PDP_AND_MAPD
Rx_CE_LTI_ORIGDS,0.238,RxHCC,R08_PDP_AND_MAPD
Rx_NE_Lo_NESRD_NOD_x_F45_54,2.271,RxHCC,R08_PDP_AND_MAPD
Rx_NE_LTI_NESRD_NOD_x_F55_59,2.855,RxHCC,R08_PDP_AND_MAPD
Rx_NE_LTI_NESRD_OD_x_F80_84,1.054,RxHCC,R08_PDP_AND_MAPD
Rx_CE_NoLowNoAged_RXHCC19,1.705,RxHCC,R08_PDP_AND_MAPD
Rx_CE_LowAged_RXHCC396,0,RxHCC,R08_PDP_AND_MAPD
Rx_NE_Lo_ESRD_NOD_x_F75_79,2.131,RxHCC,R08_PDP_AND_MAPD
Rx_NE_LTI_NESRD_OD_x_F95_GT,0.658,RxHCC,R08_PDP_AND_MAPD
Rx_NE_LTI_ESRD_OD_x_F85_89,2.538,RxHCC,R08_PDP_AND_MAPD
Rx_CE_NoLowAged_RXHCC260,0,RxHCC,R08_PDP_AND_MAPD
Rx_CE_NoLowNoAged_RXHCC207,0.099,RxHCC,R08_PDP_AND_MAPD
Rx_CE_LowAged_RXHCC260,0,RxHCC,R08_PDP_AND_MAPD
Rx_CE_LowNoAged_RXHCC43,0.146,RxHCC,R08_PDP_AND_MAPD
Rx_CE_LTI_F85_89,0.353,RxHCC,R08_PDP_AND_MAPD
Rx_NE_NoLo_ESRD_NOD_X_M55_59,1.181,RxHCC,R08_PDP_AND_MAPD
Rx_NE_LTI_NESRD_OD_X_M90_94,0.74,RxHCC,R08_PDP_AND_MAPD
Rx_NE_LTI_ESRD_NOD_x_F67,2.538,RxHCC,R08_PDP_AND_MAPD
Rx_CE_NoLowAged_RXHCC67,0.499,RxHCC,R08_PDP_AND_MAPD
Rx_CE_NoLowAged_RXHCC87,0.056,RxHCC,R08_PDP_AND_MAPD
Rx_CE_NoLowAged_RXHCC184,0.151,RxHCC,R08_PDP_AND_MAPD
Rx_CE_NoLowAged_RXHCC188,0.052,RxHCC,R08_PDP_AND_MAPD
Rx_CE_LTI_RXHCC111,0,RxHCC,R08_PDP_AND_MAPD
Rx_NE_NoLo_NESRD_NOD_x_F95_GT,0.397,RxHCC,R08_PDP_AND_MAPD
Rx_NE_NoLo_ESRD_OD_x_F66,1.303,RxHCC,R08_PDP_AND_MAPD
Rx_NE_Lo_NESRD_OD_x_F67,1.01,RxHCC,R08_PDP_AND_MAPD
Rx_CE_NoLowNoAged_RXHCC316,0.183,RxHCC,R08_PDP_AND_MAPD
Rx_CE_LowAged_RXHCC55,1.004,RxHCC,R08_PDP_AND_MAPD
Rx_NE_NoLo_NESRD_OD_x_F69,1.028,RxHCC,R08_PDP_AND_MAPD
Rx_NE_Lo_NESRD_NOD_X_M60_64,1.631,RxHCC,R08_PDP_AND_MAPD
Rx_NE_LTI_NESRD_NOD_X_M67,1.67,RxHCC,R08_PDP_AND_MAPD
Rx_CE_NoLowAged_M80_84,0.061,RxHCC,R08_PDP_AND_MAPD
Rx_CE_NoLowNoAged_M60_64,0.284,RxHCC,R08_PDP_AND_MAPD
Rx_CE_LTI_M70_74,0.793,RxHCC,R08_PDP_AND_MAPD
Rx_CE_LTI_F60_64,1.385,RxHCC,R08_PDP_AND_MAPD
Rx_NE_Lo_ESRD_NOD_X_M90_94,2.215,RxHCC,R08_PDP_AND_MAPD
Rx_CE_NoLowAged_F85_89,0.04,RxHCC,R08_PDP_AND_MAPD
Rx_CE_LowAged_F65OD,0.314,RxHCC,R08_PDP_AND_MAPD
Rx_CE_LowNoAged_M55_59,0.477,RxHCC,R08_PDP_AND_MAPD
Rx_CE_LowNoAged_RXHCC5,0.541,RxHCC,R08_PDP_AND_MAPD
Rx_CE_LowNoAged_RXHCC40,10.248,RxHCC,R08_PDP_AND_MAPD
Rx_CE_LowNoAged_RXHCC55,0.825,RxHCC,R08_PDP_AND_MAPD
Rx_CE_LTI_M55_59,1.422,RxHCC,R08_PDP_AND_MAPD
Rx_NE_NoLo_ESRD_NOD_x_F75_79,1.303,RxHCC,R08_PDP_AND_MAPD
Rx_NE_LTI_ESRD_OD_X_M65,2.349,RxHCC,R08_PDP_AND_MAPD
Rx_CE_LowAged_RXHCC40,7.461,RxHCC,R08_PDP_AND_MAPD
Rx_CE_LTI_RXHCC157,1.813,RxHCC,R08_PDP_AND_MAPD
Rx_NE_NoLo_NESRD_OD_X_M90_94,0.708,RxHCC,R08_PDP_AND_MAPD
Rx_NE_LTI_ESRD_NOD_x_F70_74,2.538,RxHCC,R08_PDP_AND_MAPD
Rx_CE_LowAged_RXHCC154,0.433,RxHCC,R08_PDP_AND_MAPD
Rx_CE_LowAged_RXHCC395,6.133,RxHCC,R08_PDP_AND_MAPD
Rx_CE_LowNoAged_RXHCC160,5.552,RxHCC,R08_PDP_AND_MAPD
Rx_CE_LTI_RXHCC193,0.118,RxHCC,R08_PDP_AND_MAPD
Rx_CE_LTI_RXHCC227,0.433,RxHCC,R08_PDP_AND_MAPD
Rx_NE_NoLo_NESRD_NOD_X_M67,0.526,RxHCC,R08_PDP_AND_MAPD
Rx_NE_Lo_ESRD_NOD_x_F60_64,2.014,RxHCC,R08_PDP_AND_MAPD
Rx_NE_LTI_NESRD_NOD_x_F0_34,3.655,RxHCC,R08_PDP_AND_MAPD
Rx_CE_NoLowAged_F65OD,0.064,RxHCC,R08_PDP_AND_MAPD
Rx_CE_LowNoAged_RXHCC148,0.021,RxHCC,R08_PDP_AND_MAPD
Rx_CE_LTI_RXHCC186,0.224,RxHCC,R08_PDP_AND_MAPD
Rx_CE_LTI_RXHCC226,1.5,RxHCC,R08_PDP_AND_MAPD
Rx_NE_Lo_ESRD_NOD_X_M35_44,1.839,RxHCC,R08_PDP_AND_MAPD
Rx_NE_Lo_ESRD_NOD_x_F67,2.131,RxHCC,R08_PDP_AND_MAPD
Rx_NE_LTI_ESRD_NOD_X_M75_79,2.349,RxHCC,R08_PDP_AND_MAPD
Rx_CE_NoLowNoAged_M45_54,0.287,RxHCC,R08_PDP_AND_MAPD
Rx_CE_LowAged_RXHCC43,0,RxHCC,R08_PDP_AND_MAPD
Rx_CE_LowNoAged_RXHCC16,13.095,RxHCC,R08_PDP_AND_MAPD
Rx_CE_LowNoAged_RXHCC41,19.376,RxHCC,R08_PDP_AND_MAPD
Rx_CE_LTI_RXHCC1,6.509,RxHCC,R08_PDP_AND_MAPD
Rx_NE_NoLo_NESRD_NOD_X_M69,0.526,RxHCC,R08_PDP_AND_MAPD
Rx_NE_NoLo_ESRD_NOD_x_F90_94,1.303,RxHCC,R08_PDP_AND_MAPD
Rx_NE_Lo_NESRD_NOD_x_F69,0.758,RxHCC,R08_PDP_AND_MAPD
Rx_CE_NoLowAged_M95_GT,0.061,RxHCC,R08_PDP_AND_MAPD
Rx_CE_NoLowAged_RXHCC20,0.494,RxHCC,R08_PDP_AND_MAPD
Rx_CE_LTI_F70_74,1.104,RxHCC,R08_PDP_AND_MAPD
Rx_NE_LTI_NESRD_NOD_x_F67,2.338,RxHCC,R08_PDP_AND_MAPD
Rx_CE_LTI_F90_94,0.196,RxHCC,R08_PDP_AND_MAPD
Rx_NE_Lo_NESRD_NOD_X_M45_54,1.839,RxHCC,R08_PDP_AND_MAPD
Rx_NE_Lo_NESRD_NOD_x_F80_84,0.687,RxHCC,R08_PDP_AND_MAPD
Rx_NE_Lo_NESRD_NOD_x_F90_94,0.423,RxHCC,R08_PDP_AND_MAPD
Rx_NE_Lo_ESRD_OD_X_M85_89,2.215,RxHCC,R08_PDP_AND_MAPD
Rx_NE_LTI_NESRD_NOD_X_M35_44,3.3,RxHCC,R08_PDP_AND_MAPD
Rx_NE_LTI_NESRD_NOD_X_M75_79,1.668,RxHCC,R08_PDP_AND_MAPD
Rx_NE_LTI_ESRD_NOD_X_M70_74,2.349,RxHCC,R08_PDP_AND_MAPD
Rx_CE_NoLowAged_RXHCC31,0.172,RxHCC,R08_PDP_AND_MAPD
Rx_CE_NoLowNoAged_RXHCC1,10.526,RxHCC,R08_PDP_AND_MAPD
Rx_CE_LowAged_RXHCC261,0,RxHCC,R08_PDP_AND_MAPD
Rx_CE_LowNoAged_RXHCC164,0.184,RxHCC,R08_PDP_AND_MAPD
Rx_CE_LTI_RXHCC47,0.058,RxHCC,R08_PDP_AND_MAPD
Rx_NE_Lo_NESRD_OD_x_F70_74,0.953,RxHCC,R08_PDP_AND_MAPD
Rx_NE_Lo_NESRD_OD_x_F90_94,0.423,RxHCC,R08_PDP_AND_MAPD
Rx_CE_NoLowAged_RXHCC1,8.6,RxHCC,R08_PDP_AND_MAPD
Rx_CE_LowNoAged_F45_54,0.711,RxHCC,R08_PDP_AND_MAPD
Rx_NE_Lo_NESRD_NOD_X_M68,0.705,RxHCC,R08_PDP_AND_MAPD
Rx_NE_Lo_ESRD_NOD_X_M0_34,1.839,RxHCC,R08_PDP_AND_MAPD
Rx_CE_NoLowAged_RXHCC54,0.721,RxHCC,R08_PDP_AND_MAPD
Rx_CE_NoLowNoAged_RXHCC168,0.275,RxHCC,R08_PDP_AND_MAPD
Rx_NE_NoLo_NESRD_OD_X_M70_74,0.619,RxHCC,R08_PDP_AND_MAPD
Rx_CE_NoLowAged_RXHCC263,0.017,RxHCC,R08_PDP_AND_MAPD
Rx_CE_LowAged_RXHCC131,0.578,RxHCC,R08_PDP_AND_MAPD
Rx_CE_LowNoAged_RXHCC158,0.233,RxHCC,R08_PDP_AND_MAPD
Rx_CE_LTI_RXHCC155,0,RxHCC,R08_PDP_AND_MAPD
Rx_CE_LTI_RXHCC263,0,RxHCC,R08_PDP_AND_MAPD
Rx_NE_Lo_ESRD_OD_x_F80_84,2.131,RxHCC,R08_PDP_AND_MAPD
Rx_CE_LowNoAged_RXHCC47,0.113,RxHCC,R08_PDP_AND_MAPD
Rx_CE_LowNoAged_RXHCC95,1.822,RxHCC,R08_PDP_AND_MAPD
Rx_NE_LTI_NESRD_NOD_X_M45_54,2.868,RxHCC,R08_PDP_AND_MAPD
Rx_CE_NoLowAged_RXHCC96,0.71,RxHCC,R08_PDP_AND_MAPD
Rx_CE_NoLowAged_RXHCC98,12.13,RxHCC,R08_PDP_AND_MAPD
Rx_CE_NoLowAged_RXHCC163,0.314,RxHCC,R08_PDP_AND_MAPD
Rx_CE_NoLowNoAged_RXHCC395,2.35,RxHCC,R08_PDP_AND_MAPD
Rx_CE_LowNoAged_F0_34,0.492,RxHCC,R08_PDP_AND_MAPD
Rx_CE_LowNoAged_RXHCC263,0,RxHCC,R08_PDP_AND_MAPD
Rx_CE_LTI_NONAGED_RXHCC133,0.011,RxHCC,R08_PDP_AND_MAPD
Rx_NE_NoLo_NESRD_OD_X_M68,0.526,RxHCC,R08_PDP_AND_MAPD
Rx_NE_NoLo_ESRD_OD_x_F70_74,1.303,RxHCC,R08_PDP_AND_MAPD
Rx_CE_NoLowNoAged_RXHCC243,0.225,RxHCC,R08_PDP_AND_MAPD
Rx_CE_LowAged_F95_GT,0.045,RxHCC,R08_PDP_AND_MAPD
Rx_CE_LowAged_RXHCC191,0.521,RxHCC,R08_PDP_AND_MAPD
Rx_CE_LTI_RXHCC215,0.142,RxHCC,R08_PDP_AND_MAPD
Rx_NE_Lo_NESRD_NOD_X_M67,0.762,RxHCC,R08_PDP_AND_MAPD
Rx_CE_NoLowAged_RXHCC40,3.764,RxHCC,R08_PDP_AND_MAPD
Rx_CE_NoLowNoAged_RXHCC15,5.29,RxHCC,R08_PDP_AND_MAPD
Rx_NE_LTI_NESRD_NOD_X_M70_74,1.668,RxHCC,R08_PDP_AND_MAPD
Rx_CE_NoLowNoAged_RXHCC188,0,RxHCC,R08_PDP_AND_MAPD
Rx_CE_LowAged_RXHCC80,0.194,RxHCC,R08_PDP_AND_MAPD
Rx_CE_LowAged_RXHCC164,0.052,RxHCC,R08_PDP_AND_MAPD
Rx_CE_LowNoAged_M0_34,0.596,RxHCC,R08_PDP_AND_MAPD
Rx_CE_LowNoAged_RXHCC112,0,RxHCC,R08_PDP_AND_MAPD
Rx_CE_LTI_RXHCC66,0.358,RxHCC,R08_PDP_AND_MAPD
Rx_CE_LTI_RXHCC87,0,RxHCC,R08_PDP_AND_MAPD
Rx_NE_NoLo_NESRD_OD_x_F75_79,0.832,RxHCC,R08_PDP_AND_MAPD
Rx_CE_NoLowAged_M75_79,0.061,RxHCC,R08_PDP_AND_MAPD
Rx_CE_NoLowAged_RXHCC43,0.063,RxHCC,R08_PDP_AND_MAPD
Rx_CE_NoLowNoAged_M55_59,0.299,RxHCC,R08_PDP_AND_MAPD
Rx_CE_NoLowNoAged_RXHCC225,25.855,RxHCC,R08_PDP_AND_MAPD
Rx_CE_LowAged_RXHCC18,3.424,RxHCC,R08_PDP_AND_MAPD
Rx_CE_LowAged_RXHCC155,0.075,RxHCC,R08_PDP_AND_MAPD
Rx_CE_LTI_M45_54,1.87,RxHCC,R08_PDP_AND_MAPD
Rx_CE_LTI_M60_64,1.096,RxHCC,R08_PDP_AND_MAPD
Rx_CE_LTI_RXHCC158,0.158,RxHCC,R08_PDP_AND_MAPD
Rx_NE_NoLo_NESRD_NOD_X_M85_89,0.708,RxHCC,R08_PDP_AND_MAPD
Rx_NE_NoLo_NESRD_NOD_x_F80_84,0.522,RxHCC,R08_PDP_AND_MAPD
Rx_NE_Lo_NESRD_NOD_X_M80_84,0.589,RxHCC,R08_PDP_AND_MAPD
Rx_CE_LTI_NONAGED_RXHCC130,0.749,RxHCC,R08_PDP_AND_MAPD
Rx_NE_Lo_ESRD_NOD_X_M69,2.215,RxHCC,R08_PDP_AND_MAPD
Rx_NE_Lo_ESRD_OD_x_F75_79,2.131,RxHCC,R08_PDP_AND_MAPD
Rx_CE_LowAged_RXHCC56,1.235,RxHCC,R08_PDP_AND_MAPD
Rx_NE_NoLo_NESRD_NOD_X_M45_54,1.181,RxHCC,R08_PDP_AND_MAPD
Rx_NE_Lo_NESRD_NOD_x_F68,0.705,RxHCC,R08_PDP_AND_MAPD
Rx_NE_Lo_ESRD_NOD_X_M66,2.215,RxHCC,R08_PDP_AND_MAPD
Rx_NE_Lo_ESRD_NOD_x_F68,2.131,RxHCC,R08_PDP_AND_MAPD
Rx_CE_NoLowAged_RXHCC159,3.765,RxHCC,R08_PDP_AND_MAPD
