coefficient,value,model_domain,model_version
CPD_HCC387,0.158,CMS-HCC,C28
INS_HCC135,0.217,CMS-HCC,C28
NE_NMCAID_NORIGDIS_NEM90_94,1.568,CMS-HCC,C28
CPA_HCC92,0.46,CMS-HCC,C28
CPA_HCC107,0.092,CMS-HCC,C28
CPA_HCC385,2.11,CMS-HCC,C28
CPD_HCC329,0.018,CMS-HCC,C28
INS_F70_74,1.081,CMS-HCC,C28
INS_HCC1,0.549,CMS-HCC,C28
INS_D8,0.002,CMS-HCC,C28
NE_NMCAID_NORIGDIS_NEF68,0.604,CMS-HCC,C28
NE_NMCAID_ORIGDIS_NEF85_89,1.342,CMS-HCC,C28
CPA_HCC152,0.447,CMS-HCC,C28
CPA_HCC282,0.548,CMS-HCC,C28
NE_NMCAID_NORIGDIS_NEF60_64,1.292,CMS-HCC,C28
SNPNE_MCAID_NORIGDIS_NEM95_GT,2.44,CMS-HCC,C28
SNPNE_NMCAID_ORIGDIS_NEM67,1.714,CMS-HCC,C28
SNPNE_MCAID_ORIGDIS_NEF68,2.037,CMS-HCC,C28
CPD_HCC51,1.687,CMS-HCC,C28
CPD_HCC139,0.113,CMS-HCC,C28
CPD_D9,0.939,CMS-HCC,C28
NE_NMCAID_ORIGDIS_NEF66,1.139,CMS-HCC,C28
NE_MCAID_ORIGDIS_NEF66,2.09,CMS-HCC,C28
SNPNE_NMCAID_NORIGDIS_NEM68,1.082,CMS-HCC,C28
CPA_HCC197,0,CMS-HCC,C28
CPA_CHR_LUNG_CARD_RESP_FAIL_V28,0.209,CMS-HCC,C28
CPD_HCC135,0.986,CMS-HCC,C28
INS_HCC21,0.554,CMS-HCC,C28
SNPNE_MCAID_NORIGDIS_NEF45_54,2.008,CMS-HCC,C28
CPA_HCC195,1.841,CMS-HCC,C28
CPD_D6,0.145,CMS-HCC,C28
NE_MCAID_NORIGDIS_NEF35_44,1.548,CMS-HCC,C28
CPA_HCC109,1.125,CMS-HCC,C28
CPA_HCC200,0.194,CMS-HCC,C28
CPD_HCC213,0.587,CMS-HCC,C28
CPD_HCC263,1.626,CMS-HCC,C28
CPD_gSubUseDisorder_gPsych_V28,0.123,CMS-HCC,C28
INS_F55_59,0.84,CMS-HCC,C28
INS_HCC17,1.998,CMS-HCC,C28
NE_MCAID_NORIGDIS_NEF65,0.907,CMS-HCC,C28
SNPNE_MCAID_ORIGDIS_NEM68,2.141,CMS-HCC,C28
INS_ORIGDS,0,CMS-HCC,C28
INS_HCC195,1.612,CMS-HCC,C28
INS_HCC382,0.46,CMS-HCC,C28
SNPNE_MCAID_NORIGDIS_NEF66,1.195,CMS-HCC,C28
SNPNE_MCAID_NORIGDIS_NEF90_94,2.369,CMS-HCC,C28
SNPNE_NMCAID_ORIGDIS_NEM75_79,1.919,CMS-HCC,C28
INS_DISABLED_NEURO_V28,0.065,CMS-HCC,C28
SNPNE_MCAID_NORIGDIS_NEM35_44,1.785,CMS-HCC,C28
CPD_HCC153,0.104,CMS-HCC,C28
CPA_HCC227,0.138,CMS-HCC,C28
INS_HCC152,0.235,CMS-HCC,C28
NE_MCAID_NORIGDIS_NEF55_59,1.476,CMS-HCC,C28
SNPNE_NMCAID_ORIGDIS_NEF75_79,2.023,CMS-HCC,C28
SNPNE_MCAID_ORIGDIS_NEF69,2.093,CMS-HCC,C28
CPA_HCC226,0.29,CMS-HCC,C28
CPD_HCC23,0.136,CMS-HCC,C28
CPD_HCC93,0.207,CMS-HCC,C28
CPD_HCC385,1.401,CMS-HCC,C28
INS_HCC125,0,CMS-HCC,C28
SNPNE_MCAID_NORIGDIS_NEF65,1.195,CMS-HCC,C28
CPD_HCC298,0.357,CMS-HCC,C28
INS_HCC79,0.532,CMS-HCC,C28
INS_HCC454,1.383,CMS-HCC,C28
NE_NMCAID_NORIGDIS_NEF80_84,1.097,CMS-HCC,C28
SNPNE_MCAID_NORIGDIS_NEF80_84,1.974,CMS-HCC,C28
CPA_HCC125,0.399,CMS-HCC,C28
CPA_HCC154,0.322,CMS-HCC,C28
CPD_HCC107,2.376,CMS-HCC,C28
INS_HCC22,0.356,CMS-HCC,C28
INS_HCC221,0.531,CMS-HCC,C28
NE_NMCAID_NORIGDIS_NEM95_GT,1.568,CMS-HCC,C28
CPD_D4,0,CMS-HCC,C28
NE_NMCAID_NORIGDIS_NEF67,0.573,CMS-HCC,C28
CPA_HCC225,0.29,CMS-HCC,C28
CPA_HCC228,0.405,CMS-HCC,C28
INS_HCC2,0.814,CMS-HCC,C28
SNPNE_MCAID_ORIGDIS_NEM67,2.13,CMS-HCC,C28
CPA_HCC138,0.348,CMS-HCC,C28
CPD_HCC109,1.518,CMS-HCC,C28
INS_HCC151,0.585,CMS-HCC,C28
INS_HCC249,0.119,CMS-HCC,C28
NE_NMCAID_NORIGDIS_NEM0_34,0.505,CMS-HCC,C28
SNPNE_NMCAID_ORIGDIS_NEM69,1.719,CMS-HCC,C28
SNPNE_MCAID_ORIGDIS_NEF90_94,2.636,CMS-HCC,C28
CPA_HCC137,0.348,CMS-HCC,C28
CPA_HCC300,0.448,CMS-HCC,C28
CPD_HCC223,4.032,CMS-HCC,C28
INS_HCC223,0.262,CMS-HCC,C28
INS_HCC228,0.372,CMS-HCC,C28
NE_MCAID_NORIGDIS_NEF90_94,1.822,CMS-HCC,C28
SNPNE_NMCAID_NORIGDIS_NEF60_64,1.693,CMS-HCC,C28
CPA_D2,0,CMS-HCC,C28
CPD_HCC200,0.142,CMS-HCC,C28
INS_HCC109,0.683,CMS-HCC,C28
NE_NMCAID_NORIGDIS_NEM68,0.7,CMS-HCC,C28
NE_NMCAID_ORIGDIS_NEF68,1.139,CMS-HCC,C28
INS_HCC114,1.239,CMS-HCC,C28
INS_HCC327,0.469,CMS-HCC,C28
INS_HCC379,2.81,CMS-HCC,C28
NE_MCAID_ORIGDIS_NEM69,1.905,CMS-HCC,C28
CPA_HCC112,0.479,CMS-HCC,C28
